Id,Status,Audiobook,dateRead,bookTitle,bookAuthor,bookAuthoLF,bookImage,isbn13,bookPublisher,bookPages,bookYear,bookYearOriginal,bookBuyUrl
82,No,No,7/3/23,A Prayer for the Crown-Shy: A Monk and Robot Book,Becky Chambers,"Chambers, Becky",https://images-us.bookshop.org/ingram/9781250236234.jpg,9781250236234,Tordotcom,160,2022,2022,https://bookshop.org/a/93821/9781250236234
81,Yes,No,7/2/23,Bad Actors,Mick Herron,"Herron, Mick",https://images-us.bookshop.org/ingram/9781641293372.jpg,9781641293372,Soho Crime,360,2022,2022,https://bookshop.org/a/93821/9781641293372
75,No,No,5/30/23,Equal Rites,Terry Pratchett,"Pratchett, Terry",https://images-us.bookshop.org/ingram/9780062225696.jpg,9780000000000,Harper Perennial,240,2005,1987,https://bookshop.org/p/books/equal-rites-terry-pratchett/6431873?aid=93821&ean=9780062225696&listref=matt-s-reading-list
73,Yes,Yes,5/10/23,11/22/63,Stephen King,King Stephen,https://images-us.bookshop.org/ingram/9781451627299.jpg?height=500&v=v2,9781451627299,Gallery Books,880,2012,2012,https://bookshop.org/p/books/11-22-63-stephen-king/7060372?ean=9781451627299
68,Yes,No,2/19/23,The Left Hand of Darkness,Ursula K Le Guin,,https://images.booksense.com/images/597/111/9780143111597.jpg,9780143111597,Penguin,288,,1969,https://bookshop.org/p/books/the-left-hand-of-darkness-50th-anniversary-edition-ursula-k-le-guin/7503226?aid=93821&ean=9780143111597&listref=matt-s-reading-list&page=3
67,Yes,No,1/28/23,The Buried Giant,Kazuo Ishiguro,,https://images.booksense.com/images/796/455/9780307455796.jpg,9780307455796,Vintage,336,,2015,https://bookshop.org/p/books/the-buried-giant-kazuo-ishiguro/7297192?aid=93821&ean=9780307455796&listref=matt-s-reading-list&page=3
66,Yes,No,1/17/23,The Hotel New Hampshire,John Irving,"Irving, John",https://images.booksense.com/images/954/417/9780345417954.jpg,9780345417954,Dutton,432,,1981,https://bookshop.org/p/books/the-hotel-new-hampshire-john-irving/9048178?aid=93821&ean=9780345417954&listref=matt-s-reading-list&page=3
58,Yes,Yes,8/30/22,River of the Gods,Candace Millard,"Millard, Candace",https://images.booksense.com/images/101/543/9780385543101.jpg,9780525524083,Random House Audio,,2022,2022,https://bookshop.org/p/books/river-of-the-gods-genius-courage-and-betrayal-in-the-search-for-the-source-of-the-nile-candice-millard/17382875?aid=93821&ean=9780385543101&listref=matt-s-reading-list&page=3
57,Yes,No,8/29/22,The Passage of Power,Robert Caro,"Caro, Robert",https://images.booksense.com/images/255/713/9780375713255.jpg,9780375713255,Knopf,712,2012,2012,https://bookshop.org/p/books/the-passage-of-power-the-years-of-lyndon-johnson-robert-a-caro/15564149?aid=93821&ean=9780375713255&listref=matt-s-reading-list&page=3
45,Yes,No,3/18/22,Slaugterhouse Five,Kurt Vonnegut Jr.,"Vonnegut, Kurt",https://images.booksense.com/images/849/333/9780385333849.jpg,9780000000000,Delacorte,288,1999,1969,https://bookshop.org/p/books/slaughterhouse-five-or-the-children-s-crusade-a-duty-dance-with-death-kurt-vonnegut/15551258?aid=93821&ean=9780440180296&listref=matt-s-reading-list&page=2
44,Yes,No,3/15/22,Moonwalking with Einstein,Joshua Foer,"Foer, Joshua",https://covers.openlibrary.org/b/id/6707427-L.jpg,9780000000000,Penguin,320,2011,2003,https://bookshop.org/p/books/moonwalking-with-einstein-the-art-and-science-of-remembering-everything-joshua-foer/16319626?aid=93821&ean=9780143120537&listref=matt-s-reading-list&page=2
43,Yes,No,3/10/22,Silverview,John le Carré,"le Carré, John",https://covers.openlibrary.org/b/id/12041636-L.jpg,9780000000000,Viking,272,2021,2021,https://bookshop.org/p/books/silverview-john-le-carre/17123826?aid=93821&ean=9780593490631&listref=matt-s-reading-list&page=2
19,Yes,No,8/8/21,The Valley of Fear,Arthur Conan Doyle,"Doyle, Arthur Conan",https://covers.openlibrary.org/b/id/116989-L.jpg,9780000000000,Oxford University Press,291,1993,1915,https://bookshop.org/p/books/hound-of-the-baskervilles-valley-of-fear-collector-s-edition-arthur-conan-doyle/17209742?aid=93821&ean=9781840228076&listref=matt-s-reading-list
4,Yes,No,3/12/21,Guards! Guards!,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/8913515-L.jpg,9780000000000,HarperTorch,376,2001,1989,https://bookshop.org/p/books/guards-guards-terry-pratchett/6431868?aid=93821&ean=9780062225757&listref=matt-s-reading-list&page=2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
