Id,Status,Audiobook,dateRead,bookTitle,bookAuthor,bookAuthoLF,bookImage,isbn13,bookPublisher,bookPages,bookYear,bookYearOriginal,bookBuyUrl
82,No,No,07/03/2023,A Prayer for the Crown-Shy: A Monk and Robot Book,Becky Chambers,"Chambers, Becky",https://images-us.bookshop.org/ingram/9781250236234.jpg,9781250236234,Tordotcom,160,2022,2022,https://bookshop.org/a/93821/9781250236234
81,Yes,No,07/02/2023,Bad Actors,Mick Herron,"Herron, Mick",https://images-us.bookshop.org/ingram/9781641293372.jpg,9781641293372,Soho Crime,360,2022,2022,https://bookshop.org/a/93821/9781641293372
80,No,No,06/26/2023,The Secret Hours,Mick Herron,"Herron, Mick",https://images-us.bookshop.org/ingram/9781641295215.jpg,9781641295215,Soho Crime,384,2023,2023,https://bookshop.org/a/93821/9781641295215
79,Yes,No,06/26/2023,A Psalm for The Wild Built,Beck Chambers,"Chambers, Becky",https://images-us.bookshop.org/ingram/9781250236210.jpg,9781250236210,Tordotcom,160,2021,2021,https://bookshop.org/a/93821/9781250236210
78,Yes,No,06/18/2023,Slough House,Mick Herron,"Herron, Mick",https://images-us.bookshop.org/ingram/9781641293099.jpg,9781641293099,Soho Crime,312,2021,2021,https://bookshop.org/a/93821/9781641293099
77,Yes,No,06/13/2023,Joe Country,Mick Herron,"Herron, Mick",https://images-us.bookshop.org/ingram/9781641291330.jpg,9781641291330,Soho Crime,368,2020,2020,https://bookshop.org/a/93821/9781641291330
76,Yes,No,06/07/2023,London Rules,Mick Herron,"Herron, Mick",https://images-us.bookshop.org/ingram/9781641290241.jpg,9781641290241,Soho Crime,368,2019,2019,https://bookshop.org/p/books/london-rules-mick-herron/10576450?ean=9781641290241
75,No,No,05/30/2023,Equal Rites,Terry Pratchett,"Pratchett, Terry",https://images-us.bookshop.org/ingram/9780062225696.jpg,9780000000000,Harper Perennial,240,2005,1987,https://bookshop.org/p/books/equal-rites-terry-pratchett/6431873?aid=93821&ean=9780062225696&listref=matt-s-reading-list
74,Yes,No,05/27/2023,Spook Street,Mick Herron,"Herron, Mick",https://images-us.bookshop.org/ingram/9781616958695.jpg,9781616958695,Soho,336,2017,2017,https://bookshop.org/a/93821/9781616958695
73,Yes,Yes,05/10/2023,11/22/63,Stephen King,King Stephen,https://images-us.bookshop.org/ingram/9781451627299.jpg?height=500&v=v2,9781451627299,Gallery Books,880,2012,2012,https://bookshop.org/p/books/11-22-63-stephen-king/7060372?ean=9781451627299
72,Yes,No,05/05/2023,All Systems Red,Martha Wells,"Wells, Martha",https://images-us.bookshop.org/ingram/9780765397539.jpg?height=500&v=v2,9780765397539,Tordotcom,160,2017,2017,https://bookshop.org/p/books/all-systems-red-martha-wells/7104100?ean=9780765397539
71,Yes,No,05/01/2023,Real Tigers,Mick Herron,"Herron, Mick",https://images-us.bookshop.org/ingram/9781616957988.jpg?height=500&v=v2-a907f91f4137e72fba730fb55f873129,9781616957988,Soho,400,2017,2017,https://bookshop.org/p/books/real-tigers-mick-herron/10574304?ean=9781616957988
70,Yes,No,04/12/2023,Dead Lions,Mick Herron,"Herron, Mick",https://images-us.bookshop.org/ingram/9781616953676.jpg?height=500&v=v2-1a4469089b4ccef439e17f4fa8e25997,9781616953676,Soho Crime,384,,2014,https://bookshop.org/p/books/dead-lions-mick-herron/6565401?ean=9781616953676
69,Yes,No,03/28/2023,Slow Horses,Mick Herron,"Herron, Mick",https://images.booksense.com/images/161/954/9781616954161.jpg,9781616954161,Soho Crime,352,2014,2010,https://bookshop.org/p/books/slow-horses-deluxe-edition-mick-herron/15133448?aid=93821&ean=9781641292979&listref=matt-s-reading-list&page=3
68,Yes,No,02/19/2023,The Left Hand of Darkness,Ursula K Le Guin,,https://images.booksense.com/images/597/111/9780143111597.jpg,9780143111597,Penguin,288,,1969,https://bookshop.org/p/books/the-left-hand-of-darkness-50th-anniversary-edition-ursula-k-le-guin/7503226?aid=93821&ean=9780143111597&listref=matt-s-reading-list&page=3
67,Yes,No,01/28/2023,The Buried Giant,Kazuo Ishiguro,,https://images.booksense.com/images/796/455/9780307455796.jpg,9780307455796,Vintage,336,,2015,https://bookshop.org/p/books/the-buried-giant-kazuo-ishiguro/7297192?aid=93821&ean=9780307455796&listref=matt-s-reading-list&page=3
66,Yes,No,01/17/2023,The Hotel New Hampshire,John Irving,"Irving, John",https://images.booksense.com/images/954/417/9780345417954.jpg,9780345417954,Dutton,432,,1981,https://bookshop.org/p/books/the-hotel-new-hampshire-john-irving/9048178?aid=93821&ean=9780345417954&listref=matt-s-reading-list&page=3
65,Yes,No,01/06/2023,Going Postal,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/366698-L.jpg,9780000000000,HarperTorch,394,2005,2004,https://bookshop.org/p/books/going-postal-terry-pratchett/6434410?aid=93821&ean=9780062334978&listref=matt-s-reading-list&page=3
66,Yes,No,01/03/2023,A Widow for One Year,John Irving,"Irving, John",https://images.booksense.com/images/716/424/9780345424716.jpg,9780345424716,Ballatine,560,1998,1998,https://bookshop.org/p/books/a-widow-for-one-year-john-irving/6697710?aid=93821&ean=9780345424716&listref=matt-s-reading-list&page=3
64,Yes,No,12/23/2022,A Christmas Carol,Charles Dickens,"Dickens, Charles",https://images.booksense.com/images/388/940/9781645940388.jpg,9781645940388,,186,,1843,https://bookshop.org/p/books/a-christmas-carol-with-original-illustrations-in-full-color-charles-dickens/15055535?aid=93821&ean=9781936830886&listref=matt-s-reading-list&page=3
63,Yes,No,11/25/2022,"The Long Way To A Small, Angry Planet",Becky Chambers,"Chambers, Becky",https://images.booksense.com/images/134/444/9780062444134.jpg,9780062444134,Harper Voyager,464,2016,2016,https://bookshop.org/p/books/the-long-way-to-a-small-angry-planet-becky-chambers/6437435?aid=93821&ean=9780062444134&listref=matt-s-reading-list&page=3
62,Yes,No,10/21/2022,The Shepherd’s Crown,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/8741924-L.jpg,9780062429988,HarperCollins,304,2015,2015,https://bookshop.org/p/books/the-shepherd-s-crown-terry-pratchett/15541631?aid=93821&ean=9780062429988&listref=matt-s-reading-list&page=3
61,Yes,No,10/10/2022,Raising Steam,Terry Pratchett,"Pratchett, Terry",https://images.booksense.com/images/202/169/9780804169202.jpg,9780804169202,Corgi,384,2014,2014,https://bookshop.org/p/books/raising-steam-terry-pratchett/15542783?aid=93821&ean=9780804169202&listref=matt-s-reading-list&page=3
60,Yes,No,09/20/2022,The Other Wind,Ursula K. Le Guin,"Guin, Ursula K. Le",https://images.booksense.com/images/436/722/9780547722436.jpg,9780547722436,Clarion,288,2012,2001,https://bookshop.org/p/books/the-other-wind-5-ursula-k-le-guin/11351096?aid=93821&ean=9780547722436&listref=matt-s-reading-list&page=3
59,Yes,No,09/13/2022,I Shall Wear Midnight,Terry Pratchett,"Pratchett, Terry",https://images-us.bookshop.org/ingram/9780062435293.jpg,9780061433054,HarperCollins,272,2010,2010,https://bookshop.org/p/books/i-shall-wear-midnight/17493764?aid=93821&ean=9780062435293&listref=matt-s-reading-list&page=3
58,Yes,Yes,08/30/2022,River of the Gods,Candace Millard,"Millard, Candace",https://images.booksense.com/images/101/543/9780385543101.jpg,9780525524083,Random House Audio,,2022,2022,https://bookshop.org/p/books/river-of-the-gods-genius-courage-and-betrayal-in-the-search-for-the-source-of-the-nile-candice-millard/17382875?aid=93821&ean=9780385543101&listref=matt-s-reading-list&page=3
57,Yes,No,08/29/2022,The Passage of Power,Robert Caro,"Caro, Robert",https://images.booksense.com/images/255/713/9780375713255.jpg,9780375713255,Knopf,712,2012,2012,https://bookshop.org/p/books/the-passage-of-power-the-years-of-lyndon-johnson-robert-a-caro/15564149?aid=93821&ean=9780375713255&listref=matt-s-reading-list&page=3
56,Yes,No,08/22/2022,Unseen Academicals,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/8119280-L.jpg,9780062335005,Harper,528,2009,2009,https://bookshop.org/p/books/unseen-academicals-terry-pratchett/17892154?aid=93821&ean=9780062335005&listref=matt-s-reading-list&page=3
55,Yes,No,07/26/2022,Wintersmith,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/1283607-L.jpg,9780062435286,HarperCollins,352,2007,2006,https://bookshop.org/p/books/wintersmith-terry-pratchett/286551?aid=93821&ean=9780062435286&listref=matt-s-reading-list&page=3
54,Yes,No,06/30/2022,A Hat Full of Sky,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/31081-L.jpg,9780062435279,HarperCollins,400,2007,2004,https://bookshop.org/p/books/a-hat-full-of-sky-terry-pratchett/6437196?aid=93821&ean=9780062435279&listref=matt-s-reading-list&page=3
53,Yes,No,06/21/2022,Thud!,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/36687-L.jpg,9780062334985,Harper,448,2005,2005,https://bookshop.org/p/books/thud-terry-pratchett/6434413?aid=93821&ean=9780062334985&listref=matt-s-reading-list&page=3
52,Yes,No,06/07/2022,What I Talk About When I Talk About Running,Haruki Murakami,"Murakami, Haruki",https://covers.openlibrary.org/b/id/7167416-L.jpg,9780307269195,Knopf,180,2008,2007,https://bookshop.org/p/books/what-i-talk-about-when-i-talk-about-running-a-memoir-haruki-murakami/8744735?aid=93821&ean=9780307389831&listref=matt-s-reading-list&page=2
51,Yes,No,06/02/2022,Monstrous Regiment,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/20880-L.jpg,9780062307415,HarperCollins,353,2003,2003,https://bookshop.org/p/books/monstrous-regiment-terry-pratchett/6433665?aid=93821&ean=9780062307415&listref=matt-s-reading-list&page=2
50,Yes,No,05/20/2022,The Last Hero,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/43724-L.jpg,9780060507770,HarperCollins,158,2001,2001,https://bookshop.org/p/books/the-last-hero-terry-pratchett/7897166?aid=93821&ean=9780060507770&listref=matt-s-reading-list&page=2
49,Yes,No,05/11/2022,Night Watch,Terry Pratchett,"Pratchett, Terry",https://covers.openlibrary.org/b/id/20877-L.jpg,9780062307408,HarperCollins,338,2002,2002,https://bookshop.org/p/books/night-watch-terry-pratchett/6433664?aid=93821&ean=9780062307408&listref=matt-s-reading-list&page=2
